"12-13-2024","Physical Inventory Report by Department","","Raleigh","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"Department","Class","Product Number","Product Description","Product Division","QOH Before","QOH After","Cost Before","Cost After","Count Variance","Cost Variance","QA","QOO","Zone","Shelf","Bin","Aisle","Reorder"
"Siding","Special Order","NSSO00122","Kleer 4/4x8x18","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00123","DTLB 6X5X7","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00124","Trm Nail 1-3/4"" (1 box)","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00125","OS H2U WB GL WHT","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00126","Alliance T4 Vented","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00127","Alliance T4 Solid","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00128","4/4x4x18 Kleer","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00129","4/4x6x18 Kleer","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00130","4/4x8x18 Kleer","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00131","4/4x10x18 Kleer","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00132","4/4x10x18 Kleer","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00133","TRM NAILS 1-1/4"" WHITE","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00134","Pelican Bay Shakes 7""","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00135","3"" OS WDGRN CORNER","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00136","6X6 VINYL POST SLEEVES WHITE","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00138","3/8x4x10 PVC Sheet","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00139","3/8x4x10 PVC Sheet","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00140","5/4x6x16 KDAT","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00141","2x4x16 KDAT","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00142","1x4x16 KDAT","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00143","15/32 PT 4x8 Plywood","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00144","2x6x16 KDAT","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00145","SS 2"" Brad Nails (1000ct Box)","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00146","Heavy Duty Liquid Nail Adhesive (per tube)","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00147","2"" SS Brad Nails (per box)","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00148","Tube of Liquid Nail (heavy duty)","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00149","Post Cap 6x6 Treated Copper","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00150","Post Cap 6x6 Treated Copper","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00151","Post Cap 6x6 Treated Copper","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00152","Post Cap 6x6 Treated Copper","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00153","1x6x16 T&G V Groove","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00154","4/4x10 Primed Hardie","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00155","Mastic Mill Creek D5 DL -Light colors","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00156","Cedar Discovery Hand-Split Shake D9 - deep colors","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00157","2"" NAILS 30#","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00158","3"" WOODGRAIN OUTSIDE CORNER","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00159","5/8"" J-CHANNEL STERLING GRAY","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00160","5/8"" J-CHANNEL STORM","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00161","ALSIDE BNB STERLING GRAY","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00162","CONQUEST D4.5 DL STORM","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00163","D5 ECONOMY SOFFIT SOLID","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00164","D5 ECONOMY SOFFIT VENTED","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00165","DUOSIL LATEX CAULK","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00166","FINISH TRIM WHITE","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00167","G8 TRIM COIL","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00168","3/4"" INSIDE CORNER POST STANDARD","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00169","MAB JUMBO WHITE BLOCK","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00170","MAB MASTER MOUNT (LIGHT BLOCK)","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00171","MAB SPLIT MINI BLOCK ALL COLORS","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00172","MIRATEC 5/8X4X16 PRIMED","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00173","T4  Remodeler Soffit Solid Soffit Traditional Colors","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00174","MIRATEC 5/8X48X16 PRIMED","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00175","T4  Remodeler Soffit Solid Vented Traditional Colors","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00176","SIRO-SIL SILICONE 4000 CAULK","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00177","STEEL STARTER STRIP","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00178","1-1/4"" trim nails","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00179","MAB 4BD BNB 59"" SHUTTERS","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00180","Gentek Valuguard Smooth Trim Coil","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00181","6"" PVC CROSSHEAD - 16'7""","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00182","BKT14X14","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00183","PVC SQ COLUMN 10X10X9","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00184","Mastic Millcreek 3"" OCP Victorian Gray","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00185","Mastic Mill Creek 5/8"" J-Channel Victorian Gray","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00186","Mastic Mill Creek 3"" OCP Victorian Gray","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00187","Mastic Millcreek 5/8"" J-Channel Victorian Gray","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00188","Mastic Mill Creek DL D5 Victorian Gray (square)","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00189","Mastic D5 Solid Soffit White (SQ)","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00190","Mastic D5 Vented Soffit White (SQ)","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00191","Mastic Finish/Undersill Trim  Victorian Gray","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00192","T4 universal Vented Soffit Traditional Colors","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00193","T4 universal Vented Soffit Traditional Colors","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00194","T4 universal Solid Soffit Traditional Colors","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00195","VINYL SHUTTERS MAB 4B B&B 14X75","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00196","PVC CRAWL SPACE ACCESS DOOR","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00197","8/12 Pitch - 56"" Vinyl Triangle Louver","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00198","Mastic Mill Creek D5 Classic colors - SQ","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00199","Cedar Discovery Hand-Split Shake D9 - Classic Colors","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00200","1x4x12 SPF","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00201","Mastic Mill Creek D5 DL -Classic - SQ","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00202","Wood Brackets @ Awning","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00203","Wood Brackets @ Awning","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00204","1/2"" Musket Brown J-Channel","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00205","1/2"" Musket Brown J-Channel","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00206","1x4x12 SPF","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00207","1/2"" J-channel White","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00208","Wood Brackets @ Awning","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00209","1x4x12 SPF","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00210","Wood Brackets @ Awning","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00211","Mastic Ovation D5 STR - White","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00212","VINYL SHUTTERS MAB 3B JND 12X59 - PAIR","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00213","Mastic Millcreek 3"" OCP Everest","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00214","Mastic Millcreek 5/8"" J-Channel Everest","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00215","Mastic Mill Creek D5 DL -Light Colors - SQ","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00216","Mastic D5 Solid Soffit White (SQ)","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00217","Mastic D5 Vented Soffit White (SQ)","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00218","Cedar Discovery Hand-Split Shake D9 - Deep","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00219","Mastic Finish/Undersill Trim Everest","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00220","Mastic Inside Corner Piece Everest","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00221","Brackets #1-7","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00222","12x54 rect. pvc louver non-funct.","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00223","24x36x3.5 cedar bracket","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00224","1x6x14 syp T&G @2","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00225","3"" Ring Shank SS Pls","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00226","2"" 18ga SS Brad","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00227","2-3/8"" RS SS PLS","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00228","2-1/2"" 16ga SS Finish Nail","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00229","lomanco continuous soffit vent","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00230","1x6x14 syp t&G #2","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00231","Norandex 5/8"" J channel","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00232","24x36x5.5 cedar bracket","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00233","2-3/8"" x 113 RS SS PLS","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00234","2-1/2"" 16GA SS Finish Nail","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00235","Norandex 5/8"" J channel","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00236","2-3/8"" x 113 RS SS PLS","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00237","2-1/2"" 16GA SS Finish","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00238","PVC Tapered Column 10""-20""x65"" w/C&B (no 4x4)","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00239","PVC DEcorative Triangle Louver 40"" Base 12/12 Pitch","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00240","1x8x10 Stained Grade Cedar","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00241","CEDAR BKT 18X42X3.5","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00242","CEDAR BKT 8X36X3.5","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00243","1X6X14 SYP #2 T&G","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00244","1x4x8 Stain Grade Cedar","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00245","1X6X14 SYP #2 T&G","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00246","MASTIC MILLCREEK 3"" OCP WHITE","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00247","MASTIC MILLCREEK5/8"" J-CHANNEL VICTORIAN GRAY","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00248","MASTIC INSIDE CORNER PIECE VICTORIAN GRAY","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00249","6""X6""X9' PVC SQ COLUMN WRAP (W/CAP & BASE)","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00250","MASTIC 3"" OCP PEBBLESTONE CLAY","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00251","MASTIC 5/8"" J-CHANNEL PEBBLESTONE CLAY","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00252","MASTIC FINISH/UNDERSILL TRIM PEBBLESTONE CLAY","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00253","MASTIC INSIDE CORNERPOST 3/4 PEBBLESTONE CLAY","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00254","MASTIC MILL CREEK D5 DL PEBBLESTONE CLAY SQ","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00255","MASTIC MILL CREEK D5 DL PEBBLESTONE CLAY SQ","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00256","Pro-tech T4 Solid Soffit","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00257","Pro-tech T4 Vented Soffit","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00258","VINYL SHUTTER MAB 15X59 BLACKWATCH GREEN","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00259","PVC CRAWL SPACE ACCESS DOOR R.O 36""WX33""H RH SWING WITH OVERLAY","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00260","Mastic Mill Creek D5 DL - Classic Colors (PC)","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00261","Cedar Discovery Hand-Split Shake D9 - Deep colors","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00262","EVAN JACKED UP THE FIRST SALES ORDER, INVOICED AT $0. THIS IS THE CORRECTION.","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00263","MASTIC MILLCREEK 3"" OCP EVEREST","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00264","MASTIC MILLCREEK 5/8"" J-CHANNEL EVEREST","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00265","MASTIC D5 SOLID SOFFIT WHITE (SQ)","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00266","MASTIC D5 VENTED SOFFIT WHITE (SQ)","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00267","MASTIC FINISH/UNDERSILL TRIM EVEREST","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00268","MASTIC INSIDE CORNER PIECE EVEREST","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00269","MASTIC MILL CREEK STR D5 EVEREST (SQ)","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00270","VINYL SHUTTERS MAB RP 15""X55"" DARK NAVY (PR)","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00271","VINYL SHUTTERS MAB RP 15""X59"" DARK NAVY","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00272","6""X6""X9' PVC SQ COLUMN WRAP (W/CAP & BASE)","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00273","3"" WDGRN OCP- SCOTTISH THISTLE","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00274","5/8"" J CHANNEL- SCOTTISH THISTLE","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00275","7/8"" J-CHANNEL CLASSIC COLORS- AUTUMN HARVEST","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00276","MASTIC D5 SOLID SOFFIT WHITE","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00277","MASTIC D5 VENTED SOFFIT WHITE","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00278","FINISH TRIM- SCOTTISH THISTLE","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00279","MASTIC INSIDE CORNER PIECE- SCOTTISH THISTLE","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00280","MASTIC MILL CREEK SL D5- SCOTTISH THISTLE","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00281","MASTIC SHUTTERS RP 14-3/4X59 - RED (38)","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00282","MASTIC D7 STAGGERED SHAKE-AUTUMN HARVEST","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00283","PVC 12""-14""X42"" TAPERED COLUMN","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00284","PVC CRAWL SPACE ACCESS DOOR R.O. 46""X33"" RH SWING W/OVERLAY","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00285","Ovation .042 Dutch lap - Deep Granite","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00286","Ovation .042 DL - Deep Granite","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00287","Ovation .042 Dutch lap - Deep Granite","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00288","Ovation.042 DL- Scottish Thistle","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00289","Mastic Mill Creek D5 DL -Light colors (SQ)","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00290","Cedar Discovery Hand-Split Shake D9 - deep
colors (PR)","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00291","Mastic Mill Creek D5 DL -Light colors(SQ)","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00292","Mastic Mill Creek D5 DL -Light colors(SQ)","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00293","10x10x10 Treated Sq. Lam.","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00294","10x10x12 Treated Sq. Lam.","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00295","CS16Z Coil Strapping 16GA 150ft","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00296","1x6x14 Beaded Tongue & Groove #2 Yellow Pine","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00297","1x6x16 Beaded Tongue & Groove #2 Yellow Pine","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00298","1x6x14 Beaded Tongue & Groove #2 Yellow Pine","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00299","12x54 Louver","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00300","18x18x3.5 PVC Bracket","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00301","Mastic Ovation Dutch Lap 4.5- Harbor Gray","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00302","Mastic Ovation Dutchlap 4.5- Scottish Thistle","","0","0","0.00","0.00","0","0","0","32","","","","","No"
"Siding","Special Order","NSSO00303","DTLB8x6x6","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00304","1x6x14 Beaded Tongue & Groove #2 Yellow Pine","","0","0","0.00","0.00","0","0","0","0","","","","","No"
